Batch_ID,Leather_Used_kg,Cork_Used_kg,Thread_Used_m,Glue_Used_L
B087813,2.85,0.68,179.15,0.4
B087814,3.88,1.55,195.86,0.17
B087815,2.0,0.91,129.88,0.2
B087816,2.73,1.4,86.63,0.17
B087817,2.47,1.78,155.4,0.16
B087818,3.92,1.04,58.83,0.46
B087819,3.96,1.95,59.38,0.12
B087820,3.01,1.32,149.07,0.18
B087821,2.81,1.85,101.43,0.46
B087822,1.38,1.65,165.15,0.39
B087823,3.3,1.34,191.53,0.34
B087824,1.2,0.95,110.38,0.35
B087825,1.11,0.79,71.77,0.31
B087826,4.2,0.8,178.44,0.27
B087827,1.48,1.87,109.23,0.16
B087828,3.84,1.98,168.6,0.28
B087829,3.05,0.65,188.66,0.24
B087830,1.8,1.19,105.99,0.33
B087831,2.33,1.41,178.42,0.23
B087832,4.86,1.54,144.66,0.2
B087833,1.86,1.94,87.84,0.16
B087834,3.09,1.8,185.66,0.35
B087835,2.31,0.58,199.59,0.23
B087836,4.52,1.42,164.59,0.32
B087837,2.81,1.87,83.73,0.14
B087838,3.21,0.77,82.0,0.17
B087839,2.31,0.67,64.16,0.48
B087840,2.64,2.0,94.49,0.35
B087841,2.14,1.01,97.48,0.14
B087842,4.21,1.82,60.15,0.18
B087843,4.72,0.76,154.0,0.49
B087844,4.81,1.91,184.83,0.12
B087845,2.63,0.75,93.39,0.44
B087846,3.94,0.97,97.8,0.11
B087847,4.63,1.93,114.66,0.5
B087848,2.52,1.47,89.19,0.16
B087849,3.59,1.53,140.27,0.28
B087850,3.22,1.62,178.51,0.14
B087851,2.45,1.1,62.8,0.48
B087852,2.99,0.74,120.52,0.49
B087853,2.46,1.76,162.72,0.41
B087854,3.58,1.13,103.82,0.23
B087855,3.25,0.78,98.56,0.3
B087856,2.18,1.41,172.59,0.42
B087857,1.67,0.65,78.42,0.28
B087858,2.61,1.46,119.18,0.23
B087859,4.59,0.84,76.93,0.13
B087860,3.01,0.9,93.11,0.29
B087861,2.61,0.68,83.07,0.25
B087862,1.07,0.73,94.95,0.46
B087863,1.16,0.61,135.76,0.4
B087864,2.29,1.86,170.34,0.44
B087865,4.89,1.64,154.53,0.5
B087866,4.78,1.17,155.62,0.5
B087867,1.15,1.77,123.61,0.13
B087868,4.16,1.03,104.96,0.22
B087869,3.09,1.14,147.18,0.11
B087870,3.19,0.91,87.97,0.26
B087871,3.65,1.71,185.71,0.23
B087872,2.94,1.57,59.87,0.32
B087873,1.24,0.56,84.6,0.19
B087874,2.43,0.95,107.41,0.15
B087875,1.86,0.59,58.2,0.2
B087876,4.88,1.97,101.96,0.22
B087877,2.73,0.54,164.42,0.39
B087878,3.99,1.08,154.16,0.17
B087879,3.68,0.71,187.07,0.2
B087880,2.59,0.61,159.81,0.49
B087881,1.99,1.6,149.2,0.18
B087882,1.54,0.7,193.12,0.22
B087883,3.19,0.57,83.47,0.29
B087884,2.03,1.77,123.92,0.42
B087885,3.84,1.52,72.16,0.42
B087886,2.36,1.89,50.4,0.11
B087887,1.1,0.78,177.92,0.2
B087888,3.19,1.52,54.68,0.37
B087889,3.9,0.57,173.22,0.5
B087890,4.54,0.8,106.83,0.22
B087891,4.89,1.29,146.56,0.29
B087892,2.47,1.08,180.1,0.23
B087893,2.19,0.66,71.39,0.44
B087894,4.84,1.07,159.42,0.12
B087895,2.49,0.85,81.35,0.22
B087896,1.25,0.63,159.67,0.35
B087897,3.06,0.99,154.13,0.49
B087898,3.63,1.22,51.96,0.28
B087899,4.62,0.89,102.63,0.46
B087900,1.41,1.06,196.29,0.47
B087901,3.24,1.86,137.32,0.3
B087902,3.15,1.62,170.42,0.28
B087903,1.57,1.58,97.56,0.26
B087904,2.73,1.32,181.2,0.43
B087905,2.27,1.92,185.01,0.2
B087906,3.32,0.95,134.85,0.42
B087907,2.22,0.69,65.82,0.12
B087908,1.05,1.96,112.95,0.28
B087909,2.33,0.58,186.01,0.13
B087910,1.04,0.78,177.75,0.42
B087911,1.44,0.54,188.93,0.4
B087912,3.46,2.0,92.85,0.16
B087913,4.09,0.66,163.75,0.22
B087914,2.48,0.78,141.55,0.48
B087915,3.53,0.62,127.14,0.31
B087916,1.76,1.79,144.73,0.2
B087917,2.14,1.43,94.25,0.17
B087918,1.62,0.94,92.53,0.2
B087919,2.86,1.43,110.63,0.45
B087920,3.21,0.68,120.28,0.48
B087921,4.46,0.95,62.91,0.4
B087922,4.12,1.19,73.92,0.44
B087923,3.46,1.96,151.24,0.17
B087924,1.66,1.35,65.99,0.24
B087925,1.88,1.62,138.12,0.1
B087926,2.47,1.24,129.61,0.12
B087927,2.23,0.78,195.44,0.21
B087928,1.32,1.68,131.64,0.46
B087929,1.57,0.68,177.82,0.16
B087930,4.02,1.65,67.89,0.24
B087931,4.56,0.86,103.88,0.14
B087932,4.49,0.89,146.96,0.43
B087933,1.18,1.99,149.1,0.48
B087934,3.92,1.13,95.9,0.46
B087935,2.65,1.19,190.83,0.32
B087936,4.42,1.08,186.55,0.1
B087937,4.33,1.7,149.9,0.38
B087938,1.03,1.09,110.85,0.22
B087939,2.71,1.73,124.08,0.37
B087940,4.21,0.58,160.9,0.14
B087941,1.39,1.19,60.51,0.36
B087942,1.21,1.93,125.94,0.1
B087943,2.49,0.95,189.32,0.41
B087944,4.92,1.16,92.88,0.11
B087945,2.01,1.15,136.96,0.11
B087946,1.65,1.68,80.13,0.19
B087947,1.35,1.95,134.06,0.26
B087948,2.69,1.53,92.62,0.14
B087949,3.92,0.62,145.73,0.35
B087950,1.14,0.85,159.56,0.23
B087951,2.96,1.69,174.44,0.32
B087952,4.2,1.46,105.73,0.37
B087953,2.77,1.66,76.17,0.13
B087954,2.82,1.17,189.76,0.28
B087955,1.79,0.6,131.75,0.49
B087956,4.95,0.89,60.97,0.25
B087957,4.3,0.84,50.94,0.48
B087958,2.45,1.97,51.61,0.47
B087959,2.73,1.07,110.36,0.28
B087960,2.65,1.9,50.38,0.37
B087961,2.56,1.64,121.04,0.38
B087962,3.82,1.03,147.63,0.11
B087963,4.05,1.29,86.19,0.22
B087964,3.44,1.78,145.97,0.39
B087965,2.03,0.68,184.8,0.36
B087966,4.41,0.9,86.65,0.16
B087967,4.87,1.49,92.98,0.13
B087968,4.36,0.72,79.99,0.21
B087969,3.23,1.49,123.6,0.32
B087970,4.1,2.0,72.68,0.16
B087971,4.78,1.39,140.51,0.22
B087972,1.63,1.48,138.6,0.3
B087973,1.66,0.97,179.38,0.19
B087974,2.2,1.54,81.12,0.17
B087975,4.61,1.36,87.04,0.4
B087976,3.91,0.74,189.31,0.41
B087977,3.25,1.77,120.46,0.34
B087978,4.22,1.09,67.1,0.21
B087979,4.68,0.58,133.01,0.49
B087980,1.26,1.79,149.55,0.15
B087981,4.53,0.95,81.7,0.18
B087982,3.69,1.4,111.52,0.13
B087983,4.84,1.41,179.45,0.17
B087984,3.06,1.05,139.23,0.14
B087985,3.65,1.71,127.9,0.26
B087986,3.69,0.97,108.4,0.34
B087987,2.43,0.54,150.16,0.22
B087988,3.2,1.75,134.71,0.43
B087989,2.85,1.36,157.67,0.39
B087990,2.0,0.76,192.34,0.27
B087991,3.94,1.17,157.5,0.44
B087992,4.68,1.99,93.25,0.14
B087993,1.82,1.69,199.52,0.37
B087994,4.36,1.97,58.82,0.27
B087995,3.9,1.86,54.99,0.44
B087996,3.08,0.77,155.08,0.2
B087997,4.38,1.19,90.21,0.41
B087998,1.23,1.2,90.18,0.3
B087999,4.35,1.61,142.31,0.27
B088000,3.47,1.67,54.44,0.15
B088001,1.91,0.64,139.28,0.32
B088002,4.55,0.93,157.64,0.21
B088003,3.14,1.55,79.65,0.12
B088004,1.86,0.55,168.39,0.13
B088005,3.5,0.94,168.82,0.2
B088006,4.34,1.89,120.14,0.33
B088007,4.45,1.9,59.62,0.49
B088008,3.92,1.34,64.25,0.4
B088009,1.53,1.73,159.57,0.17
B088010,2.83,1.21,64.42,0.39
B088011,3.95,0.94,185.39,0.16
B088012,4.02,1.8,145.21,0.17
B088013,1.67,1.84,122.6,0.16
B088014,1.3,1.91,62.71,0.15
B088015,1.53,1.23,174.48,0.3
B088016,4.62,1.13,128.44,0.31
B088017,3.5,1.16,176.6,0.16
B088018,3.05,1.62,56.82,0.21
B088019,2.72,1.32,59.41,0.25
B088020,1.95,0.95,58.45,0.44
B088021,1.56,1.64,170.02,0.12
B088022,1.38,1.45,183.89,0.14
B088023,1.95,1.83,93.01,0.45
B088024,3.76,1.34,141.08,0.37
B088025,3.58,1.77,149.84,0.1
B088026,3.06,0.83,197.96,0.44
B088027,4.9,1.19,147.86,0.46
B088028,3.65,1.06,125.46,0.32
B088029,1.75,0.75,56.99,0.44
B088030,2.91,0.72,166.31,0.22
B088031,1.51,1.92,68.42,0.4
B088032,2.89,1.29,120.82,0.31
B088033,1.55,1.85,90.16,0.27
B088034,4.16,0.81,126.51,0.15
B088035,1.97,1.01,97.15,0.12
B088036,3.8,1.1,63.53,0.11
B088037,1.85,0.95,142.61,0.38
B088038,3.16,0.79,182.07,0.46
B088039,3.18,1.75,76.71,0.18
B088040,3.25,1.18,155.76,0.34
B088041,4.79,0.74,77.47,0.26
B088042,2.01,0.61,193.55,0.28
B088043,3.19,0.72,195.1,0.18
B088044,2.13,1.24,175.89,0.12
B088045,2.35,0.87,147.85,0.27
B088046,1.75,1.1,85.69,0.29
B088047,4.74,1.84,93.73,0.4
B088048,4.88,1.43,143.45,0.23
B088049,3.31,1.28,131.11,0.48
B088050,2.71,0.86,91.79,0.41
B088051,2.72,1.89,140.95,0.4
B088052,4.82,1.03,152.22,0.17
B088053,1.43,1.68,65.55,0.38
B088054,3.1,1.7,171.31,0.34
B088055,1.24,0.65,102.22,0.33
B088056,3.99,1.28,192.66,0.4
B088057,4.43,1.83,154.57,0.44
B088058,2.96,0.8,84.85,0.27
B088059,4.89,1.09,143.15,0.48
B088060,2.95,0.87,59.26,0.19
B088061,2.65,0.57,185.56,0.19
B088062,4.04,0.85,77.71,0.14
B088063,2.65,1.0,62.08,0.49
B088064,4.47,0.68,139.09,0.38
B088065,2.24,1.34,131.94,0.12
B088066,3.49,0.57,130.95,0.46
B088067,3.56,1.96,158.72,0.24
B088068,4.59,0.78,179.89,0.32
B088069,4.24,1.57,88.33,0.34
B088070,1.24,1.52,66.01,0.39
B088071,2.87,1.35,170.68,0.25
B088072,3.61,0.72,106.82,0.3
B088073,1.72,1.1,173.9,0.14
B088074,3.23,1.29,78.38,0.35
B088075,2.51,1.41,161.16,0.49
B088076,3.37,0.9,87.55,0.25
B088077,3.3,0.75,75.99,0.45
B088078,1.03,1.04,143.05,0.45
B088079,2.2,1.23,168.54,0.42
B088080,3.47,0.52,139.81,0.12
B088081,1.55,1.31,191.13,0.11
B088082,1.88,1.65,163.94,0.21
B088083,2.45,0.54,165.64,0.39
B088084,4.12,1.37,87.42,0.28
B088085,1.39,0.98,57.01,0.28
B088086,3.2,1.78,156.72,0.28
B088087,3.64,0.53,135.95,0.38
B088088,3.16,0.82,105.86,0.33
B088089,4.66,1.51,175.8,0.34
B088090,3.39,1.65,191.67,0.37
B088091,4.59,0.7,138.4,0.33
B088092,4.44,1.64,118.65,0.16
B088093,2.83,1.68,126.23,0.15
B088094,1.06,1.42,94.33,0.46
B088095,3.16,0.94,143.57,0.38
B088096,4.71,1.77,72.69,0.48
B088097,4.02,1.75,106.77,0.19
B088098,3.57,1.67,99.39,0.37
B088099,3.55,0.7,153.6,0.39
B088100,1.56,1.86,186.38,0.43
B088101,2.95,1.41,77.96,0.25
B088102,2.85,0.78,168.03,0.27
B088103,1.49,1.92,169.45,0.13
B088104,4.11,1.34,73.37,0.17
B088105,4.34,1.53,163.1,0.2
B088106,4.26,1.17,73.74,0.16
B088107,1.86,1.42,124.49,0.49
B088108,1.96,1.89,199.58,0.36
B088109,3.72,0.77,180.08,0.44
B088110,3.76,0.74,118.44,0.32
B088111,2.47,1.14,93.49,0.49
B088112,4.77,1.23,193.9,0.28
B088113,3.71,1.56,118.23,0.5
B088114,4.26,1.09,51.18,0.1
B088115,3.93,1.12,143.97,0.14
B088116,2.93,0.86,164.84,0.22
B088117,1.15,1.93,178.33,0.23
B088118,4.69,0.76,116.94,0.11
B088119,2.78,1.02,80.99,0.23
B088120,4.89,1.79,194.82,0.12
B088121,3.47,0.67,178.36,0.41
B088122,2.84,1.94,145.3,0.13
B088123,2.09,0.76,141.64,0.36
B088124,4.25,1.09,78.67,0.39
B088125,3.89,1.54,123.48,0.12
B088126,2.51,1.32,172.35,0.32
B088127,3.53,1.47,120.63,0.23
B088128,1.4,1.07,187.44,0.41
B088129,1.81,1.57,190.58,0.24
B088130,2.0,0.74,150.47,0.27
B088131,1.23,1.67,57.72,0.27
B088132,4.95,1.14,178.94,0.47
B088133,4.41,1.8,109.91,0.46
B088134,3.44,1.75,88.62,0.36
B088135,2.18,1.39,109.44,0.15
B088136,4.74,1.08,139.01,0.13
B088137,1.33,1.09,53.49,0.23
B088138,1.17,2.0,80.31,0.25
B088139,3.01,1.8,143.3,0.5
B088140,2.35,1.63,102.39,0.33
B088141,1.84,1.0,110.28,0.12
B088142,2.13,1.34,113.22,0.43
B088143,1.36,0.59,97.1,0.11
B088144,1.16,1.8,149.64,0.25
B088145,2.42,1.71,69.43,0.14
B088146,2.69,1.03,148.83,0.45
B088147,1.47,0.75,50.38,0.2
B088148,3.3,0.65,145.63,0.35
B088149,1.03,1.3,50.31,0.46
B088150,2.61,1.83,79.75,0.11
B088151,4.8,1.5,62.81,0.41
B088152,4.29,0.75,101.37,0.38
B088153,4.35,0.5,143.76,0.2
B088154,3.35,0.89,115.37,0.14
B088155,3.59,1.81,51.16,0.11
B088156,3.74,0.66,54.03,0.34
B088157,3.17,1.36,180.6,0.4
B088158,4.99,1.67,190.43,0.11
B088159,1.29,1.27,157.57,0.13
B088160,2.92,1.81,63.92,0.12
B088161,1.51,1.85,185.38,0.23
B088162,1.31,1.9,89.9,0.18
B088163,1.44,0.79,65.54,0.28
B088164,2.74,0.74,146.13,0.11
B088165,3.6,1.92,74.34,0.31
B088166,4.94,0.76,196.87,0.28
B088167,3.87,1.09,135.92,0.17
B088168,2.94,1.75,75.35,0.14
B088169,4.43,1.52,113.02,0.15
B088170,4.25,0.64,73.51,0.24
B088171,1.08,0.68,146.07,0.48
B088172,4.68,0.52,148.75,0.44
B088173,1.85,1.99,185.4,0.27
B088174,1.29,1.31,95.27,0.36
B088175,2.19,0.97,171.55,0.11
B088176,4.7,1.26,143.71,0.13
B088177,4.94,1.31,110.92,0.23
B088178,2.35,1.17,66.92,0.15
B088179,2.18,1.4,62.08,0.28
B088180,2.54,1.86,182.75,0.14
B088181,1.36,1.19,124.42,0.16
B088182,1.32,1.49,63.33,0.41
B088183,2.85,1.63,179.66,0.43
B088184,1.49,1.05,96.23,0.29
B088185,3.91,0.63,176.12,0.36
B088186,1.7,1.36,150.33,0.48
B088187,3.98,1.39,124.63,0.22
B088188,4.52,1.42,154.4,0.25
B088189,3.89,1.22,169.64,0.15
B088190,3.57,0.66,125.7,0.22
B088191,2.77,0.93,79.31,0.42
B088192,4.88,0.8,64.16,0.29
B088193,1.95,0.92,150.75,0.31
B088194,2.16,1.22,78.38,0.41
B088195,4.33,1.56,176.79,0.48
B088196,4.55,1.13,159.01,0.15
B088197,3.18,0.79,153.87,0.45
B088198,4.87,0.88,174.86,0.23
B088199,2.6,0.92,95.1,0.11
B088200,4.54,0.6,66.55,0.15
B088201,4.05,1.46,155.16,0.16
B088202,1.02,1.37,142.01,0.35
B088203,4.69,0.65,58.91,0.12
B088204,3.21,1.32,53.72,0.2
B088205,4.03,1.94,63.03,0.36
B088206,1.72,1.41,120.86,0.35
B088207,1.61,1.54,156.74,0.12
B088208,3.48,1.68,78.66,0.12
B088209,1.42,1.56,83.22,0.26
B088210,3.9,1.44,53.15,0.27
B088211,4.76,1.11,167.21,0.13
B088212,2.63,0.63,110.36,0.23
B088213,2.57,1.94,63.08,0.12
B088214,3.93,0.71,99.9,0.12
B088215,1.03,1.86,96.41,0.17
B088216,2.68,0.68,112.49,0.32
B088217,2.78,1.27,102.17,0.19
B088218,1.86,0.51,62.32,0.44
B088219,3.9,1.7,120.8,0.43
B088220,1.14,0.53,189.02,0.32
B088221,1.82,1.6,69.76,0.49
B088222,2.21,0.8,197.25,0.23
B088223,4.44,1.9,152.5,0.32
B088224,4.46,1.1,81.38,0.12
B088225,4.35,1.34,75.75,0.29
B088226,2.13,1.59,94.15,0.4
B088227,3.3,0.94,153.38,0.4
B088228,3.22,1.28,58.82,0.37
B088229,3.15,1.11,148.69,0.46
B088230,1.35,0.97,50.85,0.39
B088231,3.88,1.26,147.82,0.47
B088232,4.61,1.92,90.24,0.35
B088233,2.09,0.52,137.09,0.26
B088234,3.3,1.2,196.4,0.33
B088235,1.37,0.78,171.66,0.44
B088236,1.92,0.73,149.74,0.41
B088237,2.08,1.74,71.83,0.21
B088238,4.45,0.71,105.84,0.3
B088239,4.38,0.58,127.86,0.47
B088240,2.88,1.61,81.5,0.27
B088241,1.22,1.22,193.73,0.34
B088242,1.91,1.08,141.08,0.25
B088243,2.54,0.84,125.42,0.48
B088244,1.34,0.59,93.77,0.42
B088245,1.69,0.79,132.42,0.42
B088246,4.98,1.39,63.14,0.31
B088247,3.44,0.55,73.48,0.25
B088248,1.88,1.34,82.5,0.12
B088249,4.04,1.25,142.96,0.36
B088250,4.44,1.1,106.36,0.47
B088251,3.82,1.73,100.06,0.47
B088252,1.08,1.09,58.75,0.48
B088253,2.65,1.95,190.69,0.16
B088254,3.56,0.53,53.25,0.42
B088255,1.51,1.23,85.68,0.49
B088256,4.57,1.65,177.97,0.48
B088257,3.07,1.18,148.34,0.16
B088258,4.78,0.89,138.04,0.43
B088259,2.53,0.85,83.4,0.16
B088260,3.76,1.28,86.88,0.28
B088261,3.33,0.6,64.09,0.23
B088262,2.65,1.3,98.75,0.22
B088263,4.93,1.32,134.11,0.45
B088264,4.17,0.84,139.99,0.46
B088265,4.13,1.14,51.04,0.29
B088266,2.19,1.93,126.7,0.14
B088267,2.95,1.24,187.91,0.39
B088268,1.07,1.58,131.05,0.1
B088269,4.21,0.87,185.66,0.39
B088270,3.46,1.11,126.88,0.39
B088271,2.62,1.19,62.98,0.47
B088272,1.71,1.49,155.53,0.26
B088273,3.67,1.92,60.47,0.21
B088274,2.78,1.32,130.78,0.36
B088275,2.99,0.62,150.45,0.2
B088276,1.72,1.78,58.84,0.45
B088277,2.37,0.59,142.78,0.24
B088278,2.4,1.65,157.0,0.42
B088279,4.86,0.71,66.17,0.47
B088280,1.28,1.29,139.26,0.42
B088281,4.49,1.92,67.75,0.41
B088282,2.74,0.67,56.14,0.22
B088283,1.05,0.53,193.62,0.39
B088284,1.11,0.72,108.14,0.23
B088285,4.43,1.85,117.02,0.17
B088286,3.71,0.87,127.41,0.36
B088287,2.09,1.16,172.45,0.3
B088288,3.04,1.68,83.31,0.33
B088289,3.97,1.36,174.37,0.35
B088290,4.38,1.0,162.9,0.19
B088291,3.19,1.95,66.3,0.26
B088292,2.28,0.7,161.95,0.34
B088293,1.3,1.62,174.13,0.23
B088294,4.34,1.37,137.67,0.49
B088295,3.63,1.24,115.83,0.22
B088296,1.35,1.6,108.91,0.36
B088297,1.97,1.96,52.28,0.5
B088298,4.77,0.81,170.51,0.31
B088299,2.53,1.07,164.13,0.2
B088300,1.58,0.68,91.34,0.17
B088301,4.51,1.66,116.72,0.23
B088302,1.37,1.2,146.36,0.11
B088303,3.0,0.59,190.13,0.32
B088304,1.22,1.23,52.75,0.23
B088305,1.87,0.85,138.06,0.4
B088306,1.07,0.52,66.3,0.4
B088307,3.23,1.55,191.8,0.49
B088308,3.39,0.73,152.36,0.41
B088309,3.72,1.63,184.11,0.37
B088310,2.7,0.97,65.84,0.22
B088311,1.32,1.26,146.38,0.33
B088312,4.33,1.28,158.47,0.25
B088313,3.63,1.26,68.07,0.14
B088314,2.28,0.65,155.6,0.17
B088315,3.96,1.15,62.09,0.44
B088316,2.65,1.5,68.97,0.36
B088317,4.4,1.26,64.42,0.35
B088318,4.51,1.93,74.64,0.26
B088319,1.55,0.66,154.19,0.45
B088320,1.86,0.96,174.12,0.34
B088321,2.3,1.88,106.92,0.18
B088322,3.81,1.06,189.94,0.42
B088323,3.94,1.26,182.81,0.34
B088324,1.94,1.04,152.64,0.24
B088325,2.58,1.82,66.9,0.22
B088326,4.4,1.61,61.69,0.42
B088327,4.38,1.3,163.08,0.48
B088328,2.28,1.13,150.03,0.27
B088329,1.61,0.6,114.17,0.35
B088330,3.83,0.82,51.56,0.13
B088331,3.77,0.99,130.44,0.26
B088332,2.71,0.89,88.11,0.44
B088333,4.81,1.52,163.16,0.5
B088334,2.31,1.06,93.23,0.17
B088335,1.49,1.72,101.68,0.12
B088336,3.06,1.3,133.51,0.33
B088337,4.5,0.86,65.85,0.15
B088338,1.16,0.67,78.67,0.24
B088339,4.69,1.5,87.99,0.28
B088340,3.83,1.07,71.44,0.34
B088341,4.22,1.83,91.05,0.33
B088342,2.94,1.52,71.23,0.41
B088343,2.45,1.52,132.58,0.46
B088344,1.64,0.9,76.86,0.34
B088345,2.01,1.78,75.04,0.2
B088346,2.03,0.99,155.25,0.47
B088347,4.85,0.57,158.4,0.38
B088348,3.91,1.63,115.3,0.11
B088349,4.0,1.83,83.87,0.29
B088350,4.74,0.91,185.28,0.42
B088351,4.52,0.68,150.8,0.28
B088352,1.11,1.3,122.64,0.22
B088353,4.62,0.59,137.35,0.36
B088354,2.1,1.98,192.81,0.29
B088355,4.71,0.86,172.82,0.14
B088356,1.13,1.72,86.42,0.1
B088357,2.6,1.73,168.74,0.18
B088358,4.72,1.7,198.46,0.5
B088359,3.19,1.85,89.43,0.21
B088360,2.33,1.94,149.03,0.43
B088361,2.88,1.84,63.58,0.28
B088362,3.58,1.28,149.15,0.38
B088363,3.35,1.41,89.46,0.49
B088364,3.07,1.66,124.36,0.25
B088365,3.13,1.88,84.5,0.48
B088366,4.44,1.08,81.05,0.21
B088367,3.08,1.49,82.05,0.47
B088368,4.05,0.8,162.86,0.35
B088369,2.18,1.34,199.85,0.33
B088370,3.7,0.54,107.11,0.11
B088371,2.28,0.5,92.7,0.21
B088372,4.96,1.28,76.66,0.17
B088373,4.29,1.53,72.44,0.38
B088374,2.35,1.98,105.28,0.49
B088375,2.12,1.95,193.36,0.29
B088376,2.65,0.59,83.24,0.3
B088377,1.07,1.05,157.0,0.18
B088378,4.35,0.67,57.16,0.47
B088379,1.74,1.75,71.44,0.32
B088380,4.68,1.85,196.12,0.17
B088381,1.33,0.57,196.53,0.11
B088382,2.13,1.37,129.95,0.25
B088383,4.82,1.66,86.98,0.2
B088384,1.1,0.85,104.98,0.49
B088385,3.06,1.69,59.16,0.47
B088386,4.83,0.75,192.28,0.27
B088387,3.93,0.7,188.96,0.31
B088388,1.92,1.36,65.03,0.17
B088389,1.07,1.86,162.81,0.32
B088390,3.89,1.42,199.7,0.32
B088391,2.27,1.67,148.23,0.18
B088392,4.57,0.82,191.07,0.19
B088393,4.17,2.0,186.66,0.49
B088394,4.59,0.51,61.49,0.49
B088395,2.81,1.14,151.81,0.27
B088396,3.75,0.63,65.37,0.23
B088397,2.0,1.55,107.37,0.11
B088398,1.29,1.96,183.73,0.23
B088399,4.33,0.71,129.11,0.22
B088400,4.56,1.73,141.76,0.49
B088401,2.02,1.51,92.13,0.34
B088402,2.62,0.81,150.36,0.49
B088403,2.55,1.59,65.3,0.21
B088404,1.64,1.4,54.11,0.31
B088405,1.6,0.68,185.64,0.15
B088406,4.27,0.53,96.64,0.47
B088407,1.35,0.76,97.74,0.32
B088408,4.12,1.16,125.0,0.15
B088409,4.41,1.26,106.29,0.2
B088410,1.47,1.31,194.98,0.21
B088411,3.93,1.85,184.89,0.42
B088412,3.16,1.07,173.57,0.34
B088413,2.3,1.41,148.81,0.15
B088414,2.08,1.19,90.7,0.17
B088415,4.2,0.7,99.65,0.19
B088416,3.53,0.65,161.39,0.14
B088417,2.83,1.13,53.73,0.21
B088418,3.05,1.52,62.88,0.27
B088419,3.75,0.91,181.26,0.27
B088420,3.64,1.55,69.91,0.18
B088421,2.14,1.29,116.9,0.14
B088422,3.93,1.16,84.58,0.4
B088423,3.82,1.14,74.79,0.43
B088424,2.41,1.08,198.14,0.39
B088425,2.75,1.49,58.41,0.33
B088426,4.68,1.78,50.29,0.42
B088427,2.22,1.5,174.81,0.11
B088428,3.87,1.64,85.02,0.44
B088429,1.51,1.16,196.97,0.33
B088430,3.07,0.56,75.61,0.4
B088431,4.03,1.64,192.57,0.23
B088432,1.89,1.95,100.05,0.33
B088433,1.85,1.31,157.74,0.34
B088434,2.88,1.42,128.02,0.19
B088435,4.61,0.65,123.92,0.28
B088436,4.25,1.0,95.55,0.23
B088437,1.5,0.61,160.47,0.14
B088438,2.05,1.86,118.98,0.34
B088439,3.61,1.52,122.52,0.32
B088440,2.4,1.33,134.05,0.43
B088441,1.4,0.67,159.79,0.15
B088442,1.08,1.57,59.21,0.31
B088443,2.69,0.71,102.13,0.38
B088444,2.19,1.49,197.29,0.32
B088445,3.72,1.8,55.68,0.23
B088446,3.31,1.06,136.63,0.25
B088447,3.85,0.54,131.48,0.25
B088448,4.42,1.72,57.76,0.44
B088449,1.23,0.7,123.1,0.14
B088450,1.23,0.63,143.16,0.14
B088451,4.23,1.96,150.31,0.34
B088452,4.87,1.77,98.39,0.27
B088453,2.28,1.16,183.62,0.33
B088454,1.7,1.53,123.41,0.3
B088455,3.68,0.88,144.36,0.36
B088456,4.42,1.17,65.84,0.47
B088457,3.94,1.36,66.91,0.32
B088458,3.28,1.81,130.69,0.31
B088459,2.48,1.79,198.8,0.48
B088460,4.01,1.43,151.59,0.12
B088461,4.98,0.77,186.96,0.31
B088462,2.2,1.37,167.8,0.24
B088463,4.6,1.5,97.55,0.36
B088464,3.98,1.85,74.4,0.28
B088465,3.05,1.02,81.11,0.46
B088466,4.8,0.93,76.33,0.27
B088467,2.85,1.67,141.21,0.16
B088468,1.02,1.46,151.71,0.42
B088469,4.24,1.16,105.13,0.41
B088470,4.68,1.65,57.52,0.15
B088471,2.81,1.9,199.97,0.23
B088472,3.5,1.82,62.23,0.31
B088473,4.78,0.99,171.62,0.33
B088474,2.71,1.68,164.21,0.19
B088475,4.24,1.53,54.81,0.28
B088476,4.8,0.72,67.83,0.21
B088477,3.41,0.57,107.15,0.47
B088478,1.37,1.4,104.86,0.45
B088479,2.86,0.75,159.14,0.26
B088480,2.55,1.74,80.47,0.4
B088481,3.4,1.74,71.96,0.41
B088482,2.67,1.37,52.14,0.39
B088483,2.75,1.48,183.13,0.4
B088484,4.81,1.13,164.12,0.32
B088485,4.54,0.73,115.39,0.31
B088486,4.16,0.84,194.88,0.17
B088487,3.47,0.7,113.05,0.48
B088488,4.6,1.19,159.25,0.3
B088489,3.28,1.28,154.68,0.22
B088490,1.3,0.72,63.26,0.12
B088491,4.42,1.26,191.6,0.39
B088492,3.97,1.65,185.48,0.43
B088493,4.57,0.71,143.2,0.39
B088494,3.02,0.77,176.09,0.41
B088495,2.55,0.56,195.51,0.47
B088496,3.4,0.92,135.24,0.28
B088497,1.54,1.2,78.79,0.23
B088498,4.88,1.29,84.83,0.31
B088499,3.49,1.9,89.17,0.29
B088500,3.72,1.09,184.59,0.4
B088501,3.44,1.14,180.81,0.38
B088502,2.42,1.39,77.3,0.35
B088503,2.74,0.94,114.99,0.31
B088504,2.11,0.7,55.95,0.35
B088505,4.09,1.57,92.07,0.42
B088506,3.88,0.88,67.59,0.26
B088507,1.55,1.38,133.8,0.23
B088508,1.07,1.09,128.25,0.43
B088509,1.75,0.77,199.91,0.35
